# Number of Avg Crossover Per Generation
44,34,42,34,43,37,37,40,35,34,38,43,40,41,35,39,43,34,40,35,35,43,44,35,36,38,42,39,38,36,38,39,42,35,34,31,40,41,41,32,43,48,47,33,41,30,43,41,48,38
# Average Number of Avg Crossovers Across Generations
38.78

# Average height of tree A of Crossovers Per Generation
2.2857142857142856,1.8888888888888888,1.75,2.875,2.625
2.0,2.0,2.4,3.0,3.75
2.2222222222222223,1.8888888888888888,2.272727272727273,2.6666666666666665,1.8571428571428572
1.8333333333333333,1.8,2.1666666666666665,3.25,2.7777777777777777
2.0,1.8181818181818181,2.1,2.5,2.4
2.0,1.8571428571428572,2.0,3.0,2.142857142857143
1.7777777777777777,1.8333333333333333,2.25,2.75,3.5
1.9,2.0,2.0,2.375,2.5
1.8333333333333333,2.0,2.0,1.8333333333333333,2.3333333333333335
2.2857142857142856,2.0,2.0,1.8333333333333333,2.6666666666666665
2.0,1.8571428571428572,2.1666666666666665,2.5,3.25
2.75,1.6666666666666667,2.5,2.0,2.7142857142857144
2.0,1.9,2.6666666666666665,2.125,2.375
1.8333333333333333,1.9,2.1,2.25,2.142857142857143
2.0,2.0,2.25,1.8333333333333333,2.125
2.0,1.8888888888888888,2.1666666666666665,2.4444444444444446,1.875
2.0,1.9,2.142857142857143,2.7777777777777777,1.75
1.8571428571428572,1.8181818181818181,1.875,2.25,2.0
2.0,1.9090909090909092,2.142857142857143,2.2857142857142856,1.8888888888888888
1.75,2.0,2.4285714285714284,2.5,1.625
1.8571428571428572,2.0,2.0,2.0,1.8571428571428572
1.8888888888888888,1.8181818181818181,2.142857142857143,2.125,2.0
1.8571428571428572,2.0,2.25,2.1,2.0
2.0,1.875,2.0,2.0,2.0
1.7142857142857142,2.0,2.111111111111111,1.8333333333333333,1.75
1.7777777777777777,1.8571428571428572,2.25,2.2,1.8
2.0,1.8888888888888888,1.875,2.0,2.0
1.9,1.7142857142857142,2.142857142857143,2.6666666666666665,1.8888888888888888
1.8571428571428572,2.0,1.8333333333333333,2.142857142857143,1.9
2.0,2.0,1.9,2.2,1.8571428571428572
1.6666666666666667,2.0,1.8,1.75,1.8
1.8888888888888888,1.8571428571428572,2.375,2.0,1.8571428571428572
2.0,1.8181818181818181,2.25,2.0,1.6
1.9,2.0,2.0,1.8333333333333333,2.0
1.625,1.8571428571428572,2.0,1.875,2.0
1.7142857142857142,1.8333333333333333,1.875,1.8571428571428572,2.0
1.875,2.0,1.8571428571428572,1.8,1.75
1.7777777777777777,2.0,2.0,2.0,1.8333333333333333
1.9,2.0,1.875,1.875,1.8
2.0,2.0,2.0,2.0,2.0
1.875,1.8888888888888888,1.9,2.0,2.0
2.0,1.75,1.9090909090909092,1.7777777777777777,2.0
2.0,1.7142857142857142,1.8181818181818181,1.8,2.0
1.8571428571428572,2.0,1.8,1.8333333333333333,1.8
2.0,2.0,2.0,1.9,2.0
2.0,1.75,2.0,2.0,2.0
1.8333333333333333,1.9090909090909092,1.8,2.0,1.8571428571428572
2.0,1.8571428571428572,1.875,1.7,1.6666666666666667
1.875,1.9166666666666667,1.8181818181818181,1.875,1.8888888888888888
1.8181818181818181,1.75,2.0,1.8,2.0

# Average height of tree A of Crossovers Across Generations
1.9357445887445879,1.8996356421356417,2.056728715728716,2.159880952380952,2.1041031746031744

# Number of Avg Mutations Per Generation
28,24,34,45,18,29,21,7,19,23,21,8,5,3,1,7,4,3,6,6,2,1,3,7,3,7,2,6,2,7,0,6,2,2,1,4,6,3,4,5,7,5,6,0,5,0,5,2,3,3
# Average Number of Avg Mutations Across Generations
8.42

# Winner Distribution 
800, 0
